Id,Name,DayTrend30,Members
10378,Guthix dragonhide,+15.0%,true
13165,Guthix dragonhide set,+15.0%,true
6760,Guthix mjolnir,+13.0%,true
2669,Guthix platebody,+6.0%,false
10814,Hair,+11.0%,true
4310,Ham boots,+8.0%,true
4304,Ham cloak,+39.0%,true
4308,Ham gloves,+87.0%,true
2347,Hammer,+160.0%,false
5994,Hammerstone hops,+9.0%,true
1743,Hard leather,+3.0%,false
1131,Hardleather body,+14.0%,false
311,Harpoon,+26.0%,false
255,Harralander,+13.0%,true
97,Harralander potion (unf),+7.0%,true
10145,Harralander tar,+40.0%,true
53,Headless arrow,+20.0%,true
10828,Helm of neitiznot,+0.0%,true
347,Herring,+33.0%,false
2631,Highwayman mask,+3.0%,true
13149,Holy book page set,+7.0%,true
1599,Holy mould,+56.0%,false
1718,Holy symbol,+15.0%,false
19997,Holy wraps,+44.0%,true
20254,Hosidius banner,+48.0%,true
20724,Imbued heart,+8.0%,true
12249,Imp mask,+19.0%,true
11260,Impling jar,+13.0%,true
5574,Initiate sallet,+0.0%,true
11088,Inoculation bracelet,+1.0%,true
5623,Iron arrow(p++),+3.0%,true
1349,Iron axe,+57.0%,false
9287,Iron bolts (p),+8.0%,true
9294,Iron bolts (p+),+9.0%,true
9301,Iron bolts (p++),+7.0%,true
4778,Iron brutal,+7.0%,true
1101,Iron chainbody,+20.0%,false
9457,Iron crossbow (u),+2.0%,true
813,Iron dart(p),+6.0%,true
5636,Iron dart(p++),+5.0%,true
1153,Iron full helm,+17.0%,false
12231,Iron full helm (t),+9.0%,false
3192,Iron halberd,+5.0%,true
11386,Iron hasta(p),+0.0%,true
12233,Iron kiteshield (t),+4.0%,false
863,Iron knife,+2.0%,true
871,Iron knife(p),+6.0%,true
5655,Iron knife(p+),+4.0%,true
5662,Iron knife(p++),+8.0%,true
1137,Iron med helm,+100.0%,false
1267,Iron pickaxe,+27.0%,false
1115,Iron platebody,+8.0%,false
1323,Iron scimitar,+9.0%,false
12972,Iron set (lg),+9.0%,false
21111,Jade amulet,+0.0%,true
21102,Jade amulet (u),+3.0%,true
21120,Jade bracelet,+2.0%,true
6315,Jade machete,+8.0%,true
247,Jangerberries,+233.0%,true
23064,Jar of chemicals,+18.0%,true
19701,Jar of darkness,+3.0%,true
22106,Jar of decay,+14.0%,true
12936,Jar of swamp,+23.0%,true
1935,Jug,+33.0%,false
3157,Karambwan vessel,+13.0%,true
4595,Karidian disguise,+5.0%,true
4932,Karil's coif 0,+4.0%,true
4734,Karil's crossbow,+7.0%,true
4938,Karil's crossbow 0,+0.0%,true
4950,Karil's leatherskirt 0,+2.0%,true
10111,Kebbit teeth dust,+7.0%,true
4591,Kharidian headpiece,+17.0%,true
12779,Kharyrll teleport,+4.0%,true
946,Knife,+96.0%,false
12004,Kraken tentacle,+6.0%,true
5302,Lantadyme seed,+54.0%,true
8580,Large oak bed,+9.0%,true
8584,Large teak bed,+4.0%,true
